	CO2 (0.12 eV)	CO (0.48 eV)	Iodine (0.94 eV)	InGaAsP (1.24 eV)	Ruby (1.79 eV)	HeNe (1.96 eV)	Xenon3+ (2.3 eV)	Ar (2.73 eV)	Kr (2.98 eV)	XeF-Excimer (3.51 eV)	N (3.68 eV)	XeCl-Excimer (4.03 eV)	KrF-Excimer (5.0 eV)	KrCl-Excimer (5.58 eV)	ArF-Excimer (6.42 eV)	F2-Excimer (7.9 eV)	Sm (169.84 eV)	
	1.0E9	1.0E9	1.0E9	1.0E9	1.0E9	1.0E9	1.0E9	1.0E9	1.0E9	1.0E9	1.0E9	1.0E9	1.0E9	1.0E9	1.0E9	1.0E9	1.0E9	
InSb (0.17 eV)	0.0%	35.65%	18.03%	13.71%	9.52%	8.68%	7.4%	6.23%	5.7%	4.84%	4.62%	4.22%	3.4%	3.04%	2.65%	2.15%	0.1%	
PbSe (0.27 eV)	0.0%	56.62%	28.64%	21.78%	15.12%	13.78%	11.75%	9.9%	9.06%	7.69%	7.34%	6.71%	5.4%	4.83%	4.2%	3.42%	0.16%	
InAs (0.36 eV)	0.0%	75.49%	38.18%	29.04%	20.16%	18.37%	15.66%	13.2%	12.08%	10.25%	9.79%	8.94%	7.2%	6.45%	5.6%	4.56%	0.21%	
InN (0.7 eV)	0.0%	0.0%	74.24%	56.46%	39.2%	35.73%	30.46%	25.67%	23.49%	19.93%	19.03%	17.39%	14.0%	12.53%	10.9%	8.86%	0.41%	
GaSb (0.73 eV)	0.0%	0.0%	77.0%	58.56%	40.66%	37.05%	31.59%	26.62%	24.36%	20.67%	19.74%	18.04%	14.52%	13.0%	11.3%	9.19%	0.43%	
Cu2SnS3 (0.91 eV)	0.0%	0.0%	96.51%	73.4%	50.96%	46.45%	39.6%	33.37%	30.53%	25.91%	24.74%	22.61%	18.2%	16.29%	14.17%	11.52%	0.54%	
CuInSe2 (1.0 eV)	0.0%	0.0%	0.0%	80.65%	56.0%	51.04%	43.51%	36.67%	33.55%	28.47%	27.19%	24.84%	20.0%	17.91%	15.57%	12.66%	0.59%	
BAs (1.14 eV)	0.0%	0.0%	0.0%	91.95%	63.84%	58.18%	49.61%	41.8%	38.25%	32.46%	31.0%	28.32%	22.8%	20.41%	17.75%	14.44%	0.67%	
SnS (1.3 eV)	0.0%	0.0%	0.0%	0.0%	72.8%	66.35%	56.57%	47.67%	43.62%	37.01%	35.35%	32.29%	26.0%	23.28%	20.24%	16.46%	0.77%	
InP (1.35 eV)	0.0%	0.0%	0.0%	0.0%	75.6%	68.9%	58.74%	49.5%	45.3%	38.44%	36.71%	33.54%	27.0%	24.17%	21.01%	17.09%	0.79%	
