	CO2 (0.12 eV)	CO (0.48 eV)	Iodine (0.94 eV)	InGaAsP (1.24 eV)	Ruby (1.79 eV)	HeNe (1.96 eV)	Xenon3+ (2.3 eV)	Ar (2.73 eV)	Kr (2.98 eV)	XeF-Excimer (3.51 eV)	N (3.68 eV)	XeCl-Excimer (4.03 eV)	KrF-Excimer (5.0 eV)	KrCl-Excimer (5.58 eV)	ArF-Excimer (6.42 eV)	F2-Excimer (7.9 eV)	Sm (169.84 eV)	
InSb (0.17 eV)	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	
PbSe (0.27 eV)	0.0%	6.69%	2.35%	1.5%	0.8%	0.67%	0.5%	0.35%	0.29%	0.21%	0.19%	0.15%	0.08%	0.06%	0.04%	0.01%	0.0%	
InAs (0.36 eV)	0.0%	17.71%	7.56%	5.33%	3.32%	2.94%	2.39%	1.9%	1.68%	1.35%	1.27%	1.12%	0.83%	0.71%	0.58%	0.43%	0.0%	
InN (0.7 eV)	0.0%	0.0%	35.0%	26.11%	17.66%	15.99%	13.47%	11.21%	10.19%	8.54%	8.13%	7.37%	5.84%	5.18%	4.45%	3.56%	0.13%	
GaSb (0.73 eV)	0.0%	0.0%	37.28%	27.84%	18.86%	17.08%	14.41%	11.99%	10.91%	9.15%	8.71%	7.9%	6.27%	5.56%	4.79%	3.83%	0.14%	
Cu2SnS3 (0.91 eV)	0.0%	0.0%	53.76%	40.38%	27.56%	25.0%	21.16%	17.68%	16.11%	13.56%	12.92%	11.75%	9.36%	8.33%	7.19%	5.79%	0.23%	
CuInSe2 (1.0 eV)	0.0%	0.0%	0.01%	46.63%	31.9%	28.96%	24.53%	20.52%	18.71%	15.76%	15.02%	13.68%	10.91%	9.72%	8.4%	6.77%	0.27%	
BAs (1.14 eV)	0.0%	0.0%	0.0%	56.49%	38.74%	35.19%	29.84%	25.0%	22.8%	19.24%	18.34%	16.71%	13.35%	11.9%	10.3%	8.31%	0.34%	
SnS (1.3 eV)	0.0%	0.0%	0.0%	0.01%	46.65%	42.4%	35.98%	30.17%	27.54%	23.26%	22.18%	20.21%	16.17%	14.43%	12.49%	10.1%	0.43%	
InP (1.35 eV)	0.0%	0.0%	0.0%	0.01%	49.14%	44.67%	37.92%	31.8%	29.03%	24.52%	23.39%	21.31%	17.06%	15.22%	13.18%	10.66%	0.45%	
Zn3P2 (1.5 eV)	0.0%	0.0%	0.0%	0.0%	56.64%	51.51%	43.75%	36.71%	33.52%	28.34%	27.03%	24.64%	19.74%	17.62%	15.27%	12.36%	0.53%	
GaAs (1.43 eV)	0.0%	0.0%	0.0%	0.0%	53.13%	48.31%	41.02%	34.42%	31.42%	26.55%	25.33%	23.09%	18.49%	16.5%	14.29%	11.56%	0.49%	
CdTe (1.49 eV)	0.0%	0.0%	0.0%	0.0%	56.14%	51.05%	43.36%	36.39%	33.22%	28.08%	26.79%	24.42%	19.56%	17.46%	15.13%	12.24%	0.53%	
CdSe (1.74 eV)	0.0%	0.0%	0.0%	0.0%	68.72%	62.54%	53.15%	44.64%	40.78%	34.49%	32.91%	30.01%	24.06%	21.49%	18.63%	15.09%	0.66%	
ZnTe (2.25 eV)	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	73.33%	61.66%	56.35%	47.71%	45.53%	41.54%	33.35%	29.8%	25.85%	20.97%	0.93%	
CdS (2.42 eV)	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.01%	67.37%	61.58%	52.14%	49.76%	45.41%	36.46%	32.59%	28.28%	22.94%	1.02%	
ZnSe (2.7 eV)	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	76.78%	70.22%	59.47%	56.76%	51.81%	41.61%	37.2%	32.29%	26.2%	1.17%	
TiO2 (3.2 eV)	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	72.62%	69.32%	63.28%	50.85%	45.47%	39.48%	32.05%	1.45%	
ZnO (3.37 eV)	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	77.1%	73.6%	67.19%	54.0%	48.29%	41.93%	34.04%	1.54%	
CuCl (3.4 eV)	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	77.89%	74.36%	67.89%	54.56%	48.79%	42.36%	34.4%	1.56%	
GaN (3.44 eV)	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	78.94%	75.36%	68.81%	55.3%	49.45%	42.94%	34.87%	1.58%	
ZnS-cubic (3.54 eV)	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.03%	77.88%	71.11%	57.15%	51.11%	44.38%	36.04%	1.63%	
NiO (3.6 eV)	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.01%	79.39%	72.5%	58.27%	52.11%	45.25%	36.75%	1.66%	
ZnS-hexagonal (3.91 eV)	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	79.65%	64.03%	57.27%	49.74%	40.4%	1.83%	
AlN (6.28 eV)	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	84.22%	68.45%	3.14%	
Sn (0.08 eV)	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	
Ge (0.67 eV)	0.0%	0.0%	32.39%	24.12%	16.28%	14.73%	12.4%	10.31%	9.37%	7.84%	7.46%	6.77%	5.35%	4.74%	4.07%	3.26%	0.11%	
Si (1.12 eV)	0.0%	0.0%	0.0%	55.07%	37.75%	34.3%	29.08%	24.35%	22.21%	18.74%	17.86%	16.27%	13.0%	11.59%	10.02%	8.09%	0.33%	
Cu2S (1.2 eV)	0.0%	0.0%	0.0%	60.73%	41.69%	37.89%	32.14%	26.93%	24.57%	20.74%	19.78%	18.02%	14.4%	12.85%	11.12%	8.98%	0.37%	
MoS2 (1.23 eV)	0.0%	0.0%	0.0%	62.8%	43.18%	39.24%	33.29%	27.9%	25.46%	21.49%	20.49%	18.67%	14.93%	13.32%	11.53%	9.32%	0.39%	
BP (2.0 eV)	0.0%	0.0%	0.0%	0.0%	0.0%	0.02%	63.42%	53.29%	48.69%	41.21%	39.32%	35.87%	28.78%	25.71%	22.3%	18.08%	0.8%	
GaSe (2.1 eV)	0.0%	0.0%	0.0%	0.0%	0.0%	0.01%	67.38%	56.63%	51.75%	43.8%	41.8%	38.14%	30.6%	27.35%	23.72%	19.23%	0.85%	
AlAs (2.16 eV)	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	69.77%	58.64%	53.59%	45.36%	43.29%	39.5%	31.7%	28.33%	24.57%	19.93%	0.88%	
GaP (2.26 eV)	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	73.73%	61.99%	56.66%	47.97%	45.78%	41.77%	33.53%	29.97%	26.0%	21.08%	0.94%	
SiC (3.3 eV)	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	75.26%	71.84%	65.58%	52.7%	47.13%	40.92%	33.22%	1.5%	
B12As2 (3.47 eV)	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	79.72%	76.12%	69.5%	55.85%	49.95%	43.37%	35.22%	1.59%	
C (5.47 eV)	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	83.34%	72.41%	58.84%	2.69%	
BN-hexagonal (5.96 eV)	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	79.55%	64.65%	2.96%	
BN-cubic (6.36 eV)	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	85.38%	69.4%	3.18%	
